rater_id,sentence,rating,sense,verb,typicality,naturalness,sentence_type,surprisal,freq,verbnet_class
56122d99-f13f-4674-a58a-5ece8f7973f6,The chef drove the limo.,37.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
80e45189-916a-4f4a-9690-e83ef3ef5c2d,The chef drove the limo.,35.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
58c5437e-7879-4200-9cf3-b1b892d47fd6,The chef drove the limo.,3.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
6ad341a1-12e3-4a39-9ab0-77a32b7592bd,The chef drove the limo.,16.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
0d04029d-6889-4a8f-a56c-c7f81cdb0b9a,The chef drove the limo.,51.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
f3b653d2-efb2-4f50-811b-825276719e74,The chef drove the limo.,100.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
e68fa549-5a04-46ad-8811-ea95f8947e64,The chef drove the limo.,20.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
04629c46-bf14-41c5-b2ab-d1d80ccae235,The chef drove the limo.,32.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
990aeb7c-acef-47b1-934a-b58db0c49ee7,The chef drove the limo.,30.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
8a7451bc-0b00-483c-a093-b63790fc6100,The chef drove the limo.,40.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
6712ec9d-2aa6-419e-bf05-601d150f7b34,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
f985db36-b752-448b-a4f7-1293dc3a3f47,The chef drove the limo.,18.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
35534db9-96a4-44a8-bc6c-5dffaefffb3b,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
668c0881-1de3-4c5f-8fe3-791489fc5d09,The chef drove the limo.,50.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
d3a7e129-e108-47be-88f6-ac4deb1a92d3,The chef drove the limo.,4.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
59d8c982-abf5-4a23-b853-2bf7b14270a6,The chef drove the limo.,42.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
943018bf-9b03-46cd-bc23-dad4421d91c6,The chef drove the limo.,20.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
6834499e-a36b-4a0c-91bd-c399c1f4ae36,The chef drove the limo.,59.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
2cc6e827-abce-4d02-9df8-f650e756b7a7,The chef drove the limo.,14.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
5a5a42c7-0593-438d-98d5-fb1b5b10fded,The chef drove the limo.,55.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
0468462c-787e-4b0c-b565-5507bce9f350,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
1b1fe89d-a1cc-416b-a92c-7b5e071cead9,The chef drove the limo.,22.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
cea153cc-f699-47df-9174-3497d6c89ebb,The chef drove the limo.,39.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
a504e773-5abc-421c-ba68-ce16630fa04f,The chef drove the limo.,14.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
1edb32f4-7616-4746-87e9-c13665d64740,The chef drove the limo.,28.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
a0690de5-6c66-493f-aa64-6dbfcb9a6347,The chef drove the limo.,21.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
5a78156e-c8a1-4df1-9c5e-c5b6ed41f87f,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
63ec36e4-7f96-435e-8550-72d4648a2247,The chef drove the limo.,30.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
2b537862-1bb2-42f3-bc09-c986d2f77a4a,The chef drove the limo.,18.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
b517ec9e-feb3-45e9-b135-ce508f2e8788,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
4e58a61f-88f5-448d-ba94-f3584449afb3,The chef drove the limo.,67.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
7d1b499d-747e-4e2f-abb0-0ae455bf4f80,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
4cf5bc95-5503-48cb-9720-c9025318406f,The chef drove the limo.,9.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
c413a741-ae72-4a31-bd2d-0a5f53b56d92,The chef drove the limo.,64.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
ea15e4d9-2e08-4373-b482-2d3f4c45cd84,The chef drove the limo.,50.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
20a48f7c-4812-4cbb-8e8e-956a479bc922,The chef drove the limo.,41.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
998d49f8-0d95-43a9-948b-8c4ba2a37da2,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
014dd83f-16f3-4632-8fd7-d56571447782,The chef drove the limo.,1.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
eb49a3af-8966-4eea-9bc0-0d913869b7af,The chef drove the limo.,0.0,drive.01: drive or be driven around in a vehicle,drive,atypical,natural,calibration,113.46709,3239,throw
