rater_id,sentence,rating,sense,verb,typicality,naturalness,sentence_type,surprisal,freq,verbnet_class
83bda277-9b4f-4c6e-a23b-a79ece20cc5c,The baby arranged the something.,50.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
8bc64c84-3e28-4f83-abaf-e585ff40ffe5,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
f09582f5-d39c-41eb-ab67-ff696f2c3459,The baby arranged the something.,22.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
e41ede6f-b8a8-4424-a276-520d63d0af85,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
03eaf938-1208-40ce-9b0b-bb58cc6048c9,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
a00cf45e-069b-4f6a-b8e3-30827a423cc4,The baby arranged the something.,4.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
f4d6b11d-6f6d-4d30-adf3-3194eeac72a7,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
6bac2328-23e9-406b-904e-46c58e21bc4f,The baby arranged the something.,96.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
61299ff5-a428-4f03-a4aa-c4ba37e30a66,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
9ac8b021-4063-4a79-a9aa-bf5380921b9e,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
ac09e823-dd02-4105-a37f-66ce72876698,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
e3584c87-cb9e-430d-a6de-7dd4e2138f0a,The baby arranged the something.,76.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
f5e7aa6e-74de-4c21-bc55-dbe66bd11a8e,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
3540290f-1a30-4293-a093-020659b4093a,The baby arranged the something.,100.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
c2c6b5be-7a14-4f58-be38-e62e1330ac92,The baby arranged the something.,86.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
df42ba8f-d023-4a28-a9f2-21a50043ada5,The baby arranged the something.,80.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
a2aab001-14f7-419a-8568-0d8f4aa3aca7,The baby arranged the something.,21.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
6969652a-4637-43f7-ac31-6bc4dc2867ca,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
d38e7f8d-96a6-4478-9847-77a7e7fff787,The baby arranged the something.,70.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
50eb130d-4796-44f4-adf7-e76904060f6c,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
e4971237-8920-4862-9261-4b5e3a0609b9,The baby arranged the something.,81.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
f2897e29-8713-4cac-8bd6-e73671543f47,The baby arranged the something.,100.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
4688e4e8-82fb-47b2-a67f-aadfee566e6b,The baby arranged the something.,31.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
85b7d1b8-7ec7-46e5-aadd-1965548b3fc3,The baby arranged the something.,27.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
98d4a55e-2653-4f11-afbe-8d2eaa1b7f30,The baby arranged the something.,74.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
ea2eda34-f528-419a-bd7d-fb3635544274,The baby arranged the something.,67.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
4cac184d-be6b-4b10-921e-24f944058713,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
855bbbd8-4a39-45de-bb98-0436290c5cee,The baby arranged the something.,21.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
65146d07-9b4d-4c3e-88d5-3b58fb9e6916,The baby arranged the something.,25.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
c67f9d69-e7b1-4360-ae26-291dfbc6f70f,The baby arranged the something.,82.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
83939b98-ae8e-4c67-a514-186e9776c260,The baby arranged the something.,71.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
a9a304a5-fc44-4f00-8950-3ae28039e23d,The baby arranged the something.,62.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
ef88585b-0d16-4887-a6bb-93fbf25e6faf,The baby arranged the something.,4.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
81771160-7b18-4ca1-adf9-ae003de33609,The baby arranged the something.,25.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
3dc842f6-ca4d-498d-ad22-bd144c22c360,The baby arranged the something.,100.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
d5bf1098-1ab1-4c35-9a85-a618beca16ea,The baby arranged the something.,55.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
1584594c-615c-474e-95e8-e29b47fbd646,The baby arranged the something.,62.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
1384a2f0-0340-402d-9f73-bc6acf87e5e0,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
3e774f44-0a1b-4df4-844c-252038760ea6,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
c67258a7-8dc1-4bfd-aca2-314dd81f587a,The baby arranged the something.,63.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
2bc1053f-cac0-4010-b20f-5b60a82ee354,The baby arranged the something.,100.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
605ad3e4-b8cb-445e-9315-6707bf80f543,The baby arranged the something.,70.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
6904983c-7124-42a0-81b0-2d5759867870,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
8d3ec2a6-61cf-464b-afbb-61ffb269644b,The baby arranged the something.,25.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
a461f43b-b0e9-45a3-8d48-fecc52c16e02,The baby arranged the something.,22.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
167e2d53-64a9-44fa-abde-f4f5200da910,The baby arranged the something.,25.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
2640313a-8091-4cff-8676-8e281f080a2f,The baby arranged the something.,71.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
f57ff01a-f9da-45d5-afbd-8ad02a0f1bdf,The baby arranged the something.,67.0,arrange.01: build,arrange,typical,unnatural,calibration,167.02727,2289,build
