rater_id,sentence_type,naturalness,typicality,verb,sense,sentence,surprisal,freq,rating,verbnet_class
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,arrange,arrange.01: build,The baby arranged the blocks.,151.75505,2289,100,build
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,arrange,arrange.01: build,The time arranged the blocks.,136.6864,2289,0,build
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,arrange,arrange.01: build,The baby arranged the something.,167.02727,2289,100,build
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,arrange,arrange.01: build,The time arranged the something.,141.04214,2289,0,build
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,bounce,"bounce.01: boing boing boing,",The player bounced the ball.,149.06245,666,100,roll
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,bounce,"bounce.01: boing boing boing,",The player bounced the bottle.,166.95999,666,100,roll
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,bounce,"bounce.01: boing boing boing,",The loudly bounced the ball.,146.55489,666,0,roll
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,bounce,"bounce.01: boing boing boing,",The loudly bounced the bottle.,178.5292,666,0,roll
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,bump,bump.01: hit gently,The car bumped the curb.,128.44438,144,100,hit
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,bump,bump.02: move slightly,The car bumped the chandelier.,151.72713,144,100,hit
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,bump,bump.01: hit gently,The gently bumped the curb.,119.94051,144,0,hit
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,bump,bump.01: hit gently,The gently bumped the chandelier.,140.89076,144,0,hit
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the goat.,118.51994,250,100,murder
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the goat.,149.42926,250,100,murder
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the it.,133.7114,250,0,murder
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the it.,134.4258,250,0,murder
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,carry,"carry.01: bring with, have",The assistant carried the purse.,205.41194,3332,100,carry
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,carry,"carry.01: bring with, have",The assistant carried the plane.,222.9459,3332,100,carry
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,carry,"carry.01: bring with, have",The carry carried the purse.,125.436775,3332,0,carry
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,carry,"carry.01: bring with, have",The carry carried the plane.,158.42752,3332,0,carry
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the hedge.,116.95963,555,100,tape
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the hedge.,145.4549,555,100,tape
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the was.,138.4288,555,0,tape
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the was.,149.30475,555,0,tape
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,deliver,"deliver.01: give, send",The mailman delivered the package.,122.013626,2860,100,send
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,deliver,"deliver.01: give, send",The mailman delivered the fire.,150.93918,2860,100,send
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,deliver,"deliver.01: give, send",The they delivered the package.,132.6894,2860,0,send
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,deliver,"deliver.01: give, send",The they delivered the fire.,151.5764,2860,0,send
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,design,design.01: design,The architect designed the building.,131.2433,4026,100,create
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,design,design.01: design,The ballerina designed the building.,127.19399,4026,100,create
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,typical,design,design.01: design,The architect designed the anything.,153.07686,4026,100,create
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,unnatural,atypical,design,design.01: design,The ballerina designed the anything.,156.91675,4026,100,create
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,typical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the patient.,148.20367,2557,99,banish
9dbe96ed-f3cc-4919-8e81-69807cb12e9b,target,natural,atypical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the candle.,164.92274,2557,100,banish
