,verb,sense_id,sense,sentence_id,sentence,seed,surprisal_1,temp,surprisal_4,surprisal_3,surprisal_2
0,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_1,The man abused the dog.,43.0,25.729469299316406,0.8,130.05020141601562,32.67921447753906,29.92436981201172
1,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_2,The man abused the cat.,44.0,26.827587127685547,0.8,143.4523468017578,33.71540832519531,31.20340347290039
2,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_7,The children abused the dog.,49.0,27.01765823364257,0.8,151.09735107421875,33.47182846069336,55.52587127685547
3,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_0,The man abused the horse.,42.0,27.438953399658203,0.8,158.5279998779297,34.99676513671875,32.17836380004883
4,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_8,The government abused the power.,50.0,29.510234832763672,0.8,137.59988403320312,38.24291229248047,34.84619140625
5,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_9,The company abused the system.,51.0,40.576202392578125,0.8,186.33828735351562,72.87034606933594,33.62187576293945
6,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_4,The drug abused the patients.,46.0,41.42196273803711,0.8,169.157958984375,90.73535919189453,53.120147705078125
7,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_0,The teacher abused the students.,42.0,42.40492248535156,0.8,183.09835815429688,46.15567398071289,34.62081527709961
8,abuse,abuse.03,use offending language,abuse.03_1,The man abused the woman.,43.0,26.363317489624023,0.8,126.07703399658203,32.68909454345703,30.769084930419922
9,abuse,abuse.03,use offending language,abuse.03_2,The man abused the policeman.,44.0,26.58912467956543,0.8,175.73081970214844,46.1617431640625,41.370086669921875
10,abuse,abuse.03,use offending language,abuse.03_8,The man abused the waiter.,52.0,27.100675582885746,0.8,170.5385284423828,37.24869155883789,31.523109436035156
11,abuse,abuse.03,use offending language,abuse.03_0,The man abused the child.,42.0,27.434776306152344,0.8,127.5062026977539,32.82625198364258,31.51455307006836
12,allow,allow.01,let,allow.01_5,The government allowed the protests.,48.0,30.521224975585938,0.8,180.0084228515625,36.75380325317383,34.55319595336914
13,allow,allow.01,let,allow.01_1,The teacher allowed the students.,43.0,37.329681396484375,0.8,166.71876525878906,35.32897186279297,34.9551887512207
14,allow,allow.01,let,allow.01_0,The teacher allowed the student.,42.0,38.87147903442383,0.8,166.0432891845703,36.3306884765625,35.96147918701172
15,allow,allow.01,let,allow.01_4,The supervisor allowed the workers.,47.0,40.891788482666016,0.8,198.2359619140625,75.6662368774414,40.1012077331543
16,allow,allow.02,allocate,allow.02_0,The company allowed the workers.,42.0,39.45055389404297,0.8,150.04190063476562,72.86949157714844,73.81645202636719
17,allow,allow.02,allocate,allow.02_2,The government allowed the company.,44.0,40.20829772949219,0.8,178.34793090820312,41.60467529296875,56.36652755737305
18,allow,allow.02,allocate,allow.02_5,The board allowed the town.,47.0,46.15372848510742,0.8,134.77259826660156,86.88105010986328,79.69375610351562
19,allow,allow.02,allocate,allow.02_7,The library allowed the bookshelves.,49.0,46.47883224487305,0.8,230.4905242919922,103.7739028930664,74.16372680664062
20,allow,allow.03,admit truth of proposition,allow.03_2,The president allowed the allegation.,46.0,33.33079147338867,0.8,227.1893768310547,65.92916107177734,38.819183349609375
21,allow,allow.03,admit truth of proposition,allow.03_3,The defendant allowed the possibility.,47.0,36.16414260864258,0.8,194.9632110595703,90.34786987304688,43.066246032714844
22,allow,allow.03,admit truth of proposition,allow.03_5,The argument allowed the existence.,49.0,52.26755905151367,0.8,178.4990692138672,98.04208374023438,45.21247863769531
23,allow,allow.03,admit truth of proposition,allow.03_1,The president allowed the billions.,45.0,55.10248565673828,0.8,230.4616241455078,46.81584548950195,48.49371337890625
24,approve,approve.01,assent to,approve.01_1,The board approved the proposal.,43.0,24.12899398803711,0.8,147.27658081054688,30.732269287109375,28.44391632080078
25,approve,approve.01,assent to,approve.01_6,The board approved the project.,48.0,25.32669258117676,0.8,119.82215118408203,31.00564956665039,29.607925415039062
26,approve,approve.01,assent to,approve.01_9,The board approved the budget.,52.0,25.39480400085449,0.8,133.32528686523438,31.003490447998047,29.24576187133789
27,approve,approve.01,assent to,approve.01_0,The board approved the plans.,42.0,26.60665702819824,0.8,136.80210876464844,46.996742248535156,43.71188735961914
28,beat,beat.01,strike,beat.01_5,The batter beat the ball.,47.0,24.26464080810547,0.8,131.33128356933594,31.32464599609375,37.888038635253906
29,beat,beat.01,strike,beat.01_6,The boy beat the girl.,48.0,25.155059814453125,0.8,141.7106170654297,58.852691650390625,30.345359802246094
30,beat,beat.01,strike,beat.01_2,The police beat the man.,44.0,26.81586647033692,0.8,147.650146484375,32.99750518798828,46.9638671875
31,beat,beat.01,strike,beat.01_1,The police beat the suspects.,43.0,28.45687484741211,0.8,185.63626098632812,33.158477783203125,49.939186096191406
32,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_1,The waves beat the shore.,43.0,24.30324935913086,0.8,141.55894470214844,51.52406311035156,27.76343536376953
33,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_9,The waves beat the rocks.,54.0,26.78818130493164,0.8,132.6405487060547,54.048370361328125,30.548194885253906
34,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_7,The musician beat the drums.,51.0,27.58808326721192,0.8,145.9031982421875,46.024051666259766,42.7455940246582
35,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_0,The waves beat the shoreline.,42.0,31.523082733154297,0.8,152.5859832763672,59.39618682861328,34.93219757080078
36,beat,beat.03,win over some competitor,beat.03_4,The underdog beat the favorite.,47.0,27.98154067993164,0.8,191.72499084472656,51.567230224609375,64.22032928466797
37,beat,beat.03,win over some competitor,beat.03_5,The team beat the opponent.,48.0,33.66119384765625,0.8,186.05099487304688,53.06706619262695,32.71807861328125
38,beat,beat.03,win over some competitor,beat.03_0,The team beat the rival.,42.0,34.06794357299805,0.8,167.615234375,54.34535217285156,32.43865203857422
39,beat,beat.03,win over some competitor,beat.03_9,The team beat the rivals.,54.0,35.07157897949219,0.8,179.84036254882812,63.73862075805664,42.91034698486328
40,belt,belt.01,sing loudly and forcefully,belt.01_2,The choir belted the anthem.,44.0,28.31138610839844,0.8,145.97218322753906,53.052860260009766,32.66732406616211
41,belt,belt.01,sing loudly and forcefully,belt.01_0,The choir belted the song.,42.0,29.468225479125977,0.8,125.46516418457031,52.41346740722656,33.62745666503906
42,belt,belt.01,sing loudly and forcefully,belt.01_7,The singer belted the ballad.,51.0,30.031068801879883,0.8,191.55506896972656,37.11033248901367,33.52851104736328
43,belt,belt.01,sing loudly and forcefully,belt.01_6,The chorus belted the anthem.,49.0,30.933916091918945,0.8,175.46347045898438,67.1671371459961,56.31178665161133
